ID,Name,SMILES,target_variable
77,Acid Red 60,OC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=C(C3=C1C=CC=C3)S(O)(=O)=O)C(=C2)S(O)(=O)=O)S(O)(=O)=O,4.5
78,Acid Red 65,CC1=CC(C(C2=CC=CC=C2)C2=C(C)C=C(\N=N\C3=C(O)C(=CC4=C3C=CC(=C4)S(O)(=O)=O)S(O)(=O)=O)C(C)=C2)=C(C)C=C1\N=N\C1=C(O)C(=CC2=C1C=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,3.0
79,Acid Red 66,OC1=C(\N=N\C2=CC=C(C=C2S(O)(=O)=O)\N=N\C2=CC=C(C=C2)S(O)(=O)=O)C2=C(C=CC=C2)C=C1,3.5
80,Acid Red 68,CCN(C(=O)C1=CC=CC=C1)C1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=CC(NC(C)=O)=C2)C=C1S(O)(=O)=O,4.5
81,Acid Red 70,OC1=C(\N=N\C2=CC=C(C=C2)\N=N\C2=CC=C(C=C2)S(O)(=O)=O)C2=C(C=CC=C2S(O)(=O)=O)C=C1,4.0
82,Acid Red 71,CC1=CC(=CC=C1\N=N\C1=C(O)C=CC2=C1C(=CC=C2)S(O)(=O)=O)\N=N\C1=CC=C(C=C1C)S(O)(=O)=O,5.5
83,Acid Red 73,OC1=C(\N=N\C2=CC=C(C=C2)\N=N\C2=CC=CC=C2)C2=C(C=C1)C=C(C=C2S(O)(=O)=O)S(O)(=O)=O,6.0
84,Acid Red 76,CC1=CC=C(C=C1)S(=O)(=O)NC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=C(C=C1)[N+]([O-])=O)C(=C2)S(O)(=O)=O)S(O)(=O)=O,4.0
85,Acid Red 85,CC1=CC=C(C=C1)S(=O)(=O)C(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(C=C1)C1=CC=C(C=C1)\N=N\C1=C(O)C=CC2=C1C(=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,4.5
86,Acid Red 86,COC1=CC(C2=CC(OC)=C(C=C2S(O)(=O)=O)\N=N\C2=C3C=CC=CC3=CC=C2O)=C(C=C1\N=N\C1=C2C=CC=CC2=CC=C1O)S(O)(=O)=O,2.0
87,Acid Red 88,OC1=C(\N=N\C2=CC=C(C3=C2C=CC=C3)S(O)(=O)=O)C2=C(C=CC=C2)C=C1,2.5
88,Acid Red 89,CC1=CC(C2=C(C=C(\N=N\C3=C(O)C=CC4=C3C=CC=C4)C(C)=C2)S(O)(=O)=O)=C(C=C1\N=N\C1=C(O)C=CC2=C1C=CC=C2)S(O)(=O)=O,4.0
89,Acid Red 97,OC1=C(\N=N\C2=CC(=C(C=C2)C2=CC=C(C=C2S(O)(=O)=O)\N=N\C2=C(O)C=CC3=C2C=CC=C3)S(O)(=O)=O)C2=C(C=CC=C2)C=C1,4.0
90,Acid Red 99,CC1=CC(=CC=C1C1=C(C)C=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O)\N=N\C1=C(O)C=CC2=C1C=CC=C2,5.0
91,Acid Red 102,OC1=C(C=C(C2=CC=CC=C12)S(O)(=O)=O)\N=N\C1=CC=C2C=C(C=CC2=C1)S(O)(=O)=O,3.0
92,Acid Red 106,CC1=CC=C(C=C1)S(=O)(=O)NC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=CC=C1)C(=C2)S(O)(=O)=O)S(O)(=O)=O,5.0
93,Acid Red 107,COC1=CC=CC=C1\N=N\C1=C(O)C2=C(C=C1S(O)(=O)=O)C(=CC=C2NC(=O)C1=CC=C(Cl)C=C1Cl)S(O)(=O)=O,4.5
94,Acid Red 108,CC1=CC(=CC=C1)\N=N\C1=C(O)C2=C(C=C1S(O)(=O)=O)C(=CC=C2NC(=O)C1=CC=CC=C1)S(O)(=O)=O,5.0
95,Acid Red 111,CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(C=C1)\N=N\C1=CC=C(C(C)=C1)C1=C(C)C=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,5.0
96,Acid Red 112,OC1=C(\N=N\C2=C(C=C(C=C2)\N=N\C2=CC=C(C=C2)S(O)(=O)=O)S(O)(=O)=O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,3.5
